,기사제목,기사내용,신문사
77,"與 “민주, 노웅래 체포동의안 부결은 ‘이재명 그날’ 예행연습”","

										국민의힘은 28일 뇌물수수·정치자금법 위반 혐의를 받는 더불어민주당 노웅래 의원에 대한 체포동의안이 부결된데 대해 민주당을 향해 “이재명 대표에게 다가올지 모를 그날을 위해 부결 예행연습이라도 한 모양”이라고 했다.



28일 국회 본회의에서 민주당 노웅래 의원에 대한 체포동의안이 부결됐다. /뉴시스										국민의힘 박정하 수석대변인은 이날 국회 본회의에서 노웅래 의원에 대한 체포동의안이 부결되자 논평을 통해 민주당을 향해 “거대의석을 앞세운 민주당은 불체포 특권 뒤에 노 의원을 겹겹이 감싸준 셈”이라고 했다. 그러면서 “예상했던 결과임에도 대한민국 정치 역사를 다시금 과거로 회귀시킨 민주당의 무책임한 행태가 참담하다”며 “21대 국회 들어 3명의 국회의원에 대한 체포동의안이 가결되며 그나마 정도를 걸어왔지만 그 공정과 상식에 부합한 정도를 더 이상 유지할 수 없게 되어 송구한 마음”이라고 했다. 논평은 이어 “결국 국회가 민주당의 ‘제 식구 감싸기’를 더는 피해 가지 못했다”며 “혹여나 민주당은 이재명 대표에게 다가올지 모를 그날을 위해 부결 예행연습이라도 한 모양”이라고 했다.민주당 노웅래 의원은 청탁을 받고 뇌물과 불법 정치자금을 수수한 비리 혐의를 받고 있다. 국민의힘은 “(노 의원이)’부당한 수사의 억울한 희생양’이라거나 ‘정치적 사건’이라고 주장하고 있지만 정작 노 의원 자택에서 나온 3억 원의 현금다발은 ‘검은돈’의 의혹을 더해주기 충분했다”며 “개인 비리 혐의까지 품어주는 민주당의 깊은 아량이 부디 위기로 고통받는 민생과 서민에게도 닿기를 바란다”고 했다. 그러면서 “사법 절차는 대한민국 국민 모두에게 평등해야 함을 명심하시라”고 했다.이날 열린 국회 본회의에서 노 의원 체포동의안은 무기명 투표 결과 271명 중 찬성 101명, 반대 161명, 기권 9명으로 부결됐다. 노 의원은 2020년 2∼12월 21대 국회의원 선거비용 등의 명목으로 사업가 박모씨 측에서 총 6000만원을 수수한 혐의(뇌물수수·알선뇌물수수·정치자금법 위반 혐의)를 받고 있다.검찰은 박씨가 노 의원에게 돈을 전달하면서 물류단지 개발사업의 신속한 국토교통부 실수요검증 절차 진행, 태양광 사업 지원, 지방국세청장 및 한국동서발전 주식회사 임원 인사 관련 청탁을 한 것으로 보고 있다. 검찰은 지난 12일 노 의원의 사전구속영장을 청구했다. 현역 국회의원은 회기 중 국회 동의 없이 체포·구금되지 않는 불체포특권이 있다. 국회는 본회의를 열어 표결 절차를 진행했으나 부결됐다.

",조선일보
78,"노웅래 체포동의안 부결… 민주, 대거 반대표 던진 듯","

찬성 101표·반대 161표 민주 ‘방탄정당’ 비난 못 피할 듯    한동훈, 체포동의 호소에  민주 “편파 수사 멈춰라”  盧 “국회 무시이자 유린” 



노웅래 더불어민주당 의원이 28일 서울 여의도 국회에서 열린 본회의에서 국회의원(노웅래) 체포동의안이 총투표수 271표, 가결 101표, 부결 161표, 기권 9표로 부결되자 회의장을 나서고 있다. 2022.12.28/뉴스1										뇌물 수수 혐의로 구속영장이 청구된 더불어민주당 노웅래 의원에 대한 체포 동의안이 28일 국회 본회의에서 부결됐다. 21대 국회에서 체포동의안이 부결된 것은 노 의원이 처음이다. 사실상 169석에 달하는 민주당이 노 의원 체포동의안을 부결시킨 것이라 ‘방탄 정당’ ‘제 식구 감싸기’라는 비판을 피할 수 없게 됐다.이날 국회 본회의에 상정된 노 의원 체포동의안은 재적인원 271명 중 찬성 101표, 반대 161표, 기권 9표로 부결됐다. 무기명 투표로 진행되는 체포동의안 표결은 재적 의원 과반 출석에 과반 찬성이 돼야 가결된다. 민주당과 국민의힘은 의원 자유 투표에 맡겼고, 정의당은 당론으로 찬성하겠다고 했다. 민주당에서 대거 반대표가 나온 것으로 보인다.노 의원 체포동의안 표결 직전, 한동훈 법무장관은 직접 본회의에 나와 체포동의 요청 이유를 설명했다. 한 장관은 “노 의원이 청탁을 받고 돈을 받는 현장이 고스란히 녹음되어 있는 녹음 파일이 있다. 노 의원의 목소리, 돈 봉투 부스럭거리는 소리까지도 그대로 녹음되어 있다”며 “저는 지난 20여년간 중요한 부정부패 수사 다수를 직접 담당해 왔습니다만, 부정한 돈을 주고 받는 현장이 이렇게까지 생생하게 녹음되어 있는 사건은 본 적이 없다”고 했다.한 장관은 “2022년 대한민국에서는 어떤 공직자라도 직무와 관련된 청탁과 함께 수 천만 원을 받고 명확한 증거들이 있음에도 불구하고 수사기관이 조작한 거라고 거짓 음모론을 펴면서 혐의를 부인하는 경우 거의 예외 없이 구속 수사를 받게 된다”며 “대한민국의 다른 모든 국민에게 똑같이 적용되는 이 당연한 기준이 노웅래 국회의원에게만은 적용되지 않아야 할 이유를 저는 찾지 못하겠다. 상식적인 국민들 모두 마찬가지일 것”이라고 했다.한 장관의 발언에 민주당 의원들은 “김건희는 수사 안 하냐” “편파 수사 당장 그만둬라”며 고성을 질렀다.



한동훈 법무부 장관이 28일 오후 국회에서 열린 제4차 본회의에서 뇌물수수·정치자금법 위반 혐의를 받는 더불어민주당 노웅래 의원의 체포동의요청 이유설명을 하고 있다. /연합뉴스										노 의원도 직접 나와 신상 발언을 이어갔다. 노 의원은 “한 장관은 증거가 차고도 넘친다고 얘기했는데, 그렇게 차고 넘치면 왜 조사 과정에서 묻지도 제시하지도 확인하지도 않았느냐”며 “아무것도 물어보지 않다가 갑자기 녹취가 있다, 뭐가 있다고 하는 것은 방어권을 완전히 무시하는 것”이라고 했다. 이어 “검찰은 지금 국회 표결에도 직접 영향을 미치겠다고 하는 것”이라며 “영장 시한이 다음 달 4일인데도 굳이 표결 전날 압수수색을 감행했다. 완전한 국회 무시이자 국회 유린”이라고 했다.노 의원은 자택에서 발견된 현금 3억원에 대해 “집에서 나온 돈은 부정한 돈이 아니다. 검찰이 봉투째 든 돈을 모두 꺼내서 돈다발 만들었다”며 “한마디로 검찰이 만든 작품”이라고 했다. 그러면서 “누구든 이렇게 엮이면 살아남을 사람이 누가 있겠느냐. 사람 잡는 도구로 악용될 수 있을 것”이라며 “반드시 무죄를 입증하겠다”고 했다.노 의원 체포동의안이 부결된 것은 이재명 대표에 대한 검찰 수사와 무관치 않다는 분석이 나온다. 민주당이 성남FC 후원금 의혹, 대장동·백현동 의혹 등 이 대표에 대한 검찰 수사를 야당 탄압으로 규정하고 단일 대오를 강조하는 상황에서 노 의원 사안만 달리 대응해선 안 된다는 것이다. 앞서 21대 국회에 제출된 체포동의안 3건은 모두 가결된 바 있다.

",조선일보
79,尹 “北 어떤 도발도 확실히 응징… 핵 있다고 두려워해선 안돼”,"





윤석열 대통령./대통령실 제공										윤석열 대통령이 28일 오후 참모들과 긴급회의를 열고 “북한의 어떤 도발에도 확실하게 응징 보복하라. 그것이 도발을 억제할 수 있는 가장 강력한 수단”이라고 말했다.윤 대통령은 이날 예정된 오찬 일정을 취소하고 대통령비서실, 안보실 참모들과 회의를 가졌다고 김은혜 홍보수석이 브리핑을 통해 전했다.윤 대통령은 “북한에 핵이 있다고 해서 두려워하거나 주저해선 안 된다”고 했다.윤 대통령은 29일 국방과학연구소를 방문해 드론과 미사일을 포함한 비행 물체에 대한 감시 정찰 요격시스템, 공격용 미사일 개발 상황을 종합적으로 점검하기로 했다고 김 수석은 전했다.

",조선일보
80,"마포소각장 설명회, 주민 반발에 30분 만에 끝나…  실신하는 주민도","

										서울시가 마포구에 광역자원회수시설(생활폐기물 소각장)을 신설하는 방안을 추진하는 가운데, 이와 관련한 주민 설명회가 28일 오전 10시 마포구 상암월드컵경기장 강당에서 30분 간 진행됐다.



28일 오전 서울 마포구 상암월드컵경기장에서 서울시가 개최한 마포 소각장 신설 관련 주민설명회에서 발표자가 발표하고 있다. /장근욱 기자										설명회에 참석한 주민들은 방청석에 앉지 않고 선 채로 호루라기를 부는 등 소음을 내며 반발했다. 한 주민이 “(소각장 신설 계획) 백지화” 구호를 외치다가 실신하는 일도 벌어졌지만, 다행히 현장 요원 부축을 받으며 10여 분만에 회복했다. 경찰 등 약 100명이 연단 앞쪽을 둘러싸며 발표자를 보호하기도 했다.이날 설명회는 마포구 소각장 신설시 주변 환경에 미치는 영향을 분석하는 법적 절차로 ‘전략환경영향평가’ 결과를 발표하는 자리였다. 서울시는 “마포 소각장 신설시 반경 5km 이내 환경에 대기 오염, 악취, 토양, 수질, 소음·진동 등 영향이 거의 없는 것으로 나타났다”고 밝혔다.



28일 오전 서울 마포구 상암월드컵경기장에서 서울시가 개최한 마포 소각장 신설 관련 주민설명회에서 발표자가 발표하고 있다. /장근욱 기자										20분 간 발표가 끝나고 질의응답 시간이 이어질 예정이었으나, 주민들이 항의 구호를 반복해서 외치면서 질의응답이 제대로 이뤄지지 않았고 총 30분 만에 그대로 설명회는 종료됐다.서울시가 사전 신청을 받아 입장을 허용한 주민 200명 중 약 50명만 설명회장에 입장할 수 있었다. 상당수 주민들은 마포구 등 인근 지역에서 살거나 일을 하고 있다는 사실을 증명하는 서류를 지참하지 않아 입장이 제지됐다.또 주민들은 이날 오전 9시부터 설명회장 앞에서 “소각장 건립 결사 반대” 등 구호를 외치는 집회를 벌이다 설명회 시각 10분 전에 입장을 시작했는데, 설명회장 입구에서 한명씩 주민 신분 확인 절차를 거쳐야 해서 입장이 늦어졌다.입구 앞으로 줄을 서던 주민들이 행사 관계자가 영상 촬영을 하려 하자 “불법 채증”이라며 반발하면서 몸싸움이 벌어지기도 했다. 마포구 주민 박민아(47)씨는 “줄서서 30분 기다려서 들어왔더니 설명회가 5분만에 끝났다”며 불만을 나타냈다.



28일 오전 서울 마포구 상암월드컵경기장에서 서울시가 개최한 마포 소각장 신설 관련 주민설명회에 입장하려는 주민들이 소각장 건립 결사 반대""를 외치며 항의하고 있다. /장근욱 기자										서울시는 예정된 시간인 오전 10시에 설명회를 시작했다. 서울시 관계자는 “유튜브에서도 온라인으로 생중계가 됐기 때문에 설명회는 문제 없이 진행됐다”고 했다.주민 대표격인 마포소각장백지화투쟁본부 변행철 위원장은 “주민들이 설명회에 제대로 참여 못 했다”라며 “법적으로 보장된 주민공청회를 서울시에 요청해 입지 선정 절차가 적법했는지 주민들이 직접 따지겠다”고 했다.서울시는 내년 1월 25일까지 이번 ‘전략환경영향평가’ 결과에 대한 주민 의견을 수렴하는데, 법적으로 이 기간 중 30명 이상 주민이 신청하면 서울시는 따로 주민 공청회를 진행해야 한다.내년 1월 초에는 마포 소각장과 가까운 지역인 고양시에서도 주민설명회를 개최할 예정이다.

",조선일보
81,출소 첫 일정 봉하마을 간 김경수 “조만간 文 전 대통령에 인사”,"





김경수 전 경남지사가 28일 오전 경남 김해시 진영읍 봉하마을 노무현 전 대통령 묘역을 참배하고 있다. /연합뉴스										‘드루킹 댓글 여론조작’ 사건으로 유죄가 확정돼 복역하다 신년 특별사면에 포함돼 28일 출소한 김경수 전 경남지사의 첫 일정은 노무현 전 대통령 묘역 참배였다.김 전 지사는 이날 오전 10시쯤 경남 김해 봉하마을을 찾아 노 전 대통령 묘역에 헌화와 분향을 했다. 김 전 지사는 너럭바위 앞에서 두 번 큰 절을 올렸고, 바위를 직접 어루만지기도 했다.김 전 지사는 방명록에 “대통령님께서 왜 그렇게 시민민주주의와 국민통합을 강조하셨는지 이제야 조금 알 것 같습니다. 남아있는 저희가 끝까지 최선을 다하겠습니다. 보고싶습니다. 사랑합니다. 대통령님!”이라고 썼다.김 전 지사는 노 전 대통령 묘역 참배에 앞서 권양숙 여사를 예방했다. 봉하마을에 모인 지지자들과는 참배 전후로 악수를 하거나 포옹을 했다. “김경수는 무죄”라고 외치는 지지자를 향해 미소를 짓기도 했다.김 전 지사는 향후 일정과 계획을 묻는 취재진에게 “우선은 가족들과 오래 떨어져 있었기 때문에 가족들과 시간을 보내면서 차분하게 생각을 정리해 기회가 되면 말씀드리겠다”고 했다.



김경수 전 경남지사가 28일 오전 경남 김해시 진영읍 봉하마을 노무현 전 대통령 묘역 참배를 마치고 남긴 방명록. /뉴시스스										그는 “노 전 대통령께서 재임 기간에 최고의 과제로 꼽으셨던 게 국민통합”이라며 “대연정 제안까지 하면서 지지자들에게 비난받고 등돌림을 당하면서까지 추진하셨는데 결국 실패하셨다. 그런데 왜 노무현 대통령께서 그렇게 국민통합을 위해서 애를 쓰셨는지 지금 우리가 다시 돌아봐야되는게 아닌가 하는 생각을 하게 된다”고 했다. 그러면서 “어느 정부든지 개혁을 하더라도 정권이 바뀌면 다시 사상누각이 되는 모래 위에 성처럼되는 이런 일들이 계속 반복되는 것이 국가적으로 불행한 일이 아니겠느냐”며 “그런 점에서 노 전 대통령께서 애타게 갈망하셨던 국민통합이 꼭 이뤄지는 사회가 됐으면 좋겠다”고 했다.김 전 지사는 조만간 문재인 전 대통령을 예방할 것이라고도 했다. 그는 “새해도 되고 했으니까 조만간 인사드리러 한 번 가야되지 않겠나”라고 했다.김 전 지사는 형기 만료 5개월을 앞두고 복권 없이 사면됐다. 김 전 지사의 피선거권 제한 기간 만료일은 2027년 12월 28일까지다. 2024년 국회의원 선거, 2026년 지방선거, 2027년 대통령선거에는 출마할 수 없고, 2028년 치러지는 국회의원 선거에는 나설 수 있다.

",조선일보
82,대통령실 “文정부서 민간단체 보조금 연평균 4000억 증가”,"





이관섭 국정기획수석이 28일 용산 대통령실 청사 브리핑룸에서 비영리민간단체 보조금 현황과 향후 계획을 발표하고 있다. /뉴스1										문재인 정부 5년 동안 비영리 민간 단체에 대한 국고보조금이 연평균 4000억원 정도 급증하면서 매년 약 5조원이 지원된 것으로 대통령실 조사 결과 나타났다. 정부는 내년 상반기까지 부처별로 자체 감사를 진행하고 지원 체계 재정비 등 개선 방안을 마련하기로 했다.대통령실 이관섭 국정기획수석은 28일 용산 대통령실에서 브리핑을 통해 이같이 밝혔다. 대통령실 조사 결과 지난 2016년부터 올해까지 7년간 각종 시민단체와 협회, 재단, 연맹, 복지시설 등 비영리 민간 단체에 지급한 정부 보조금은 총 31조4000억원 규모로 파악됐다. 보조금은 2016년 3조5600억원에서 2022년 5조4500억원으로 연평균 4000억원 정도 증가한 셈이다.같은 기간 지원단체 수도 2016년 2만2881개에서 2022년 2만7215개로 4334개가 증가했다.그러나 2016년 이후 전체 사업대비 적발 건수는 153건(환수금액 34억 원)에 그쳤다. 부처가 적발하지 못한 각종 문제가 언론이나 국정감사 등을 통해 밝혀지면서 전수조사 및 전면 재정비가 필요하다는 게 대통령실 판단이다.이관섭 수석은 “윤석열 정부는 비영리 민간단체 보조금 투명성 높이는 것을 국정과제로 선정한 바 있다. 그 배경에는 정의연(정의기억연대) 등 보조금 기부금을 부적절하게 사용한 사례가 있었다”며 “먼저 지원 현황을 전수조사해 그 토대 위에서 향후 개선 방안을 마련키로 했다”고 말했다.대통령실 관계자는 “보조금 증가 속도에 비해 관리 대책은 적절히 마련되지 못한 게 아닌가 하는 생각이 든다”며 “급격히 지원금이 증가했는데도 관리 사각지대에 있었다”고 했다.이 관계자는 “자체 감사에서 공무원의 부적절한 행위가 있었는지는 당연히 조사될 수 있을 것”이라며 “사안에 따라서는 수사기관에 수사를 의뢰할 수 있다”고 말했다.

",조선일보
83,"사면‧복권 MB, 벌금 82억 면제… 전직 대통령 연금은 못 받는다","





이명박 전 대통령. /뉴스1										이명박 전 대통령이 신년 특별사면‧복권 대상으로 선정되면서 15년의 잔여 형기뿐 아니라 미납한 벌금 82억원도 면제받게 됐다. 다만 박탈된 전직 대통령 예우는 회복하지 못한다.행정안전부 관계자는 28일 “전직 대통령이 특별사면 되더라도 박탈된 예우는 회복되지 않는다”고 밝혔다.행안부 소관 법률인 ‘전직대통령 예우에 관한 법률(전직대통령법)’에 따르면 전직 대통령은 연금을 지급받는다. 전직 대통령이 서거하면 유족 중 배우자는 유족연금을 받을 수 있다.또 전직 대통령은 비서관 3명과 운전기사 1명을 둘 수 있다. 전직 대통령이 서거한 경우 그 배우자는 비서관 1명과 운전기사 1명을 둘 수 있다.이 밖에도 경호 및 경비, 교통‧통신 및 사무실 제공 등의 지원, 본인 및 그 가족에 대한 치료 등의 예우를 받는다.하지만 재직 중 탄핵 결정으로 퇴임한 경우나 금고 이상의 형이 확정된 경우는 전직 대통령으로서 예우하지 않게 되어 있다. 그러나 이때에도 ‘필요한 기간의 경호 및 경비’는 제공할 수 있도록 하고 있다. 최고 수준의 국가기밀을 다뤘던 인사라는 점에서 적절한 수준의 경호는 필요하다는 취지에서다.그러나 전직 대통령이 사면‧복권되더라도 경호‧경비를 제외한 예우는 다시 회복되지 않는다. 금고 이상의 형을 받았다가 1997년 나란히 특별사면을 받아 풀려났던 전두환‧노태우 전 대통령과 탄핵으로 물러난 박근혜 전 대통령도 마찬가지였다고 행안부는 설명했다.이 전 대통령은 2020년 10월 대법원에서 94억원의 뇌물수수와 252억원의 횡령 혐의 등으로 징역 17년과 벌금 180억원·추징금 35억원을 확정받았다. 1년 8개월 동안 복역한 그는 건강 문제로 형 집행이 정지돼 치료받다가 28일자로 사면·복권됐다. 벌금 82억원을 미납한 이 전 대통령을 사면한 것과 관련, 법무부는 “전직 대통령이라는 특수 신분과 전례를 고려했다”고 설명했다.

",조선일보
84,"尹, 北 무인기 대응에 격노… “軍기강 해이하고 훈련 부족”","





윤석열 대통령. /뉴스1										윤석열 대통령이 지난 26일 북한 군용 무인기가 우리 영공(領空)을 최초 침범했을 당시 관련 보고를 받고 한국군 대응을 강하게 질책했던 것으로 28일 알려졌다. 대통령실 관계자는 “한국군의 대응을 보고 기강이 해이하고 훈련이 부족한 것 아닌지 질책한 것”이라고 했다.윤 대통령은 지난 26일 북 무인기 침투에 대한 한국군의 대응과 관련해 격노했던 것으로 알려졌다. 윤 대통령은 특히 27일엔 한국군이 북 무인기를 격추하지 못한 데 대해 이종섭 국방부 장관에게 “그동안 도대체 뭐한 거냐”며 강하게 질책한 것으로 알려졌다. 윤 대통령은 이날 오전 용산 대통령실에서 국무회의에 앞서 이 장관으로부터 무인기 대응 관련 보고를 받고 이같이 언급했다고 한다.이와 관련해 대통령실 관계자는 28일 기자들과 만나 “대통령께서 격노한 부분은 한국군의 북 무인기 대응 중 이해할 수 있는 부분보다 답답한 부분에 대한 것”이라며 “대통령께서 군에 무한 신뢰를 보내고 있지만 기대 수준을 충족하지 못한 부분, 또 기강이 해이하고 훈련이 대단히 부족한 게 아닌지에 대해 강하게 질책하고 (분발을) 주문한 것으로 이해한다”고 했다.지난 26일 북한 무인기가 우리 영공에 침범했을 당시, 대통령실 안보 참모들은 용산 대통령실 청사 위기관리센터에서 합참의 대응을 모니터링하고 있었다고 한다. 이때 군 당국이 북한 무인기 항적 포착이나 격추에서 어려움을 겪자 대통령실 참모들은 답답함을 토로했다고 한다. 대통령실 관계자는 다만 “급한 마음에 군에서 북 무인기를 빨리 격추 못 시키니 답답하다가 나중에는 군에 대해 이해를 어느 정도 하게 됐다”고 전했다. 이 관계자는 “왜 격추가 힘들까 생각했는데 보고를 받아보니 크기가 너무 작아서 복합 대공 레이더 등 대공 시스템에 잡히질 않는다고 한다”며 “결국 북 무인기를 육안 식별해 격추해야 하는 상황인데 기총 발사를 하게 되면 대민 피해가 우려돼 사격을 하지 못하는 상황을 보면서 쉽지 않다, 이래서 무인기가 비대칭 전력이란 생각을 하게 됐다”고 했다.대통령실 관계자는 “무인기 대응을 위해선 두가지를 선택해야 한다. 북한이 촬영해가는 정찰이라는 게 구글어스보다 못할 수 있으니 포기하든지(내버려두든지), 아니면 정교하고 체계적인 시스템을 만들어 대응 훈련을 강화하든지”라며 “대통령께선 후자를 강조한 것이고 그래서 드론부대 창설을 지시한 것”이라고 했다. 이 관계자는 “(북 무인기 침범이 있었던) 2014년을 계기로 지상작전사령부 등에 (드론 관련) 부대가 있다. 그런데 대단히 미미하고 무인기 대응 개념이나 체계가 제대로 정립 안 된 상태로 (전력이) 분절화돼 있다”면서 “전력을 통합하고 체계화하면서 능력을 강화해야겠다는 판단”이라고 했다.

",조선일보
85,"軍, SLBM 탑재 잠수함 늘린다…부대·고도별 무인기도 다수 확보","

내년부터 5년간 국방비 331조 투입



우리나라가 독자 개발한 잠수함발사탄도미사일(SLBM)을 탑재한 도산안창호함(3000t급)이 지난해 9월 15일 시험발사를 위해 이동하는 장면. SLBM은 잠수함에서 은밀하게 운용할 수 있으므로 전략적 가치가 높다. 현재 미국, 러시아, 중국, 영국, 프랑스, 인도 등 6국만 운용하고 있는 무기체계다. 한국은 세계 7번째 SLBM 운용국이다. /국방부 제공										국방부는 28일 ‘튼튼한 국방, 과학기술 강군, 따뜻한 병영’을 목표로 내년부터 2027년까지 5년간 군사력 건설과 운영계획을 담은 ‘2023~2027 국방중기계획’을 발표했다.내년부터 5년간 331조원의 국방비가 투입되고 상비병력은 50만명이 유지된다. 북한 핵·미사일 대응능력을 보강하고자 잠수함발사탄도미사일(SLBM)을 장착한 3600t(톤)급 중형잠수함을 추가 확보하고 전술지대지유도무기(KTSSM)와 적 전력망을 무력화하는 정전탄 등을 전력화하기로 했다.필요한 재원은 331조4000억원으로 예상됐다. 연평균 증가율은 6.8% 규모다. 재원 중 방위력 개선비는 107조4000억원(연평균 증가율 10.5%), 전력운영비는 224조원(연평균 증가율 6.8%)으로 각각 추산됐다.이에 국방예산 중 방위력개선비 비중은 올해 31%에서 2027년 36%로 상승할 전망이다. 북한의 핵·미사일 능력이 고도화할수록 한국형 3축체계를 주축으로 하는 방위력개선비는 계속 올라간다. 남북 군비경쟁은 더욱 가속화할 전망이다.



F-35A 전투기 기관포 발사 장면. /미 공군										국방부에 따르면 방위력개선비는 북한 핵시설과 이동식 미사일 발사차량(TEL)과 같은 중요 표적을 빠르고 정확하게 탐지하고 파괴할 수 있는 ‘킬체인’ 능력을 확충하는데 투입된다.이를 위해 F-35A 스텔스 전투기 20대 추가 확보, 전술지대지유도무기(KTSSM) 전력화, SLBM 탑재 중형잠수함(3600t급 장보고-Ⅲ 배치-Ⅱ) 추가 확보를 비롯해 정전탄 전력화와 전자전기·전자기펄스탄 연구개발 등 비물리적 타격수단도 확보한다.북한 미사일·장사정포를 빠르게 탐지 요격하는 한국형 복합다층 미사일방어체계(KAMD) 구축 일환으로 탄도탄조기경보레이더-Ⅰ/Ⅱ 동시 운용, 8000t급 이지스 구축함, 레이더 추가 운용, 천궁-Ⅱ·패트리엇 미사일 전력화 완료, 요격고도가 상향된 장거리 지대공미사일(L-SAM) 일부 전력화를 추진한다.장사정포 요격체계는 2026년 말까지 중요 핵심기술을 확보할 계획이다.북핵·WMD 공격 때 북한 전 지역 핵심시설을 파괴하는 대량응징보복(KMPR) 능력으로 미사일 탄두중량과 수량을 늘리고 특수작전용 경전술차량과 대물타격무인항공기 전력 보강 등으로 특수작전·특임여단 역량을 강화한다.한국형 3축체계의 전력을 효율적으로 운용하는 기반이 되는 감시정찰 및 지휘통제 체계 발전을 위해 정찰위성 전력화, 백두체계 2차 보강 완료, 다출처영상융합체계 전력화 등도 예정돼 있다.인공지능(AI) 기반 유무인 복합전투체계도 본격적으로 추진된다.제대·고도별로 다양한 감시정찰 무인기(UAV)를 확보하고, 현재 전력화가 완료된 고고도 무인기(HUAV)를 포함해 중고도 UAV(MUAV), 군단급 UAV 등 부대 규모와 용도에 맞게 활용할 수 있는 무인항공기를 다수 확보할 계획이다.개인의 전투 수행능력 극대화를 위한 개인전장가시화체계가 전력화되고 통신중계드론, 군집 드론봇 운용통제기술 연구개발을 진행한다.첨단무기 연구개발에는 5년간 107개 과제에 11조4000억원이 투입된다.부대계획 분야에서는 올해 50만명으로 감축된 상비병력을 5년간 유지키로 했다.간부는 작전·전투분야를 중심으로 보강, 올해 20만1000명에서 2027년 20만2000명 수준으로 늘리기로 했다.핵·WMD대응본부를 기초로 전략사령부를 창설하고 이지스구축함 추가 전력화와 연계해 해군 기동함대사령부도 창설할 예정이다.장병 기본급식비 단가는 현행 1만3000원에서 2025년까지 단계적으로 1만5000원으로 인상된다.국방부는 “엄중한 안보 상황을 고려하여 강력한 군사력을 건설하기 위해 방위력개선에 재원을 최우선으로 배분했다”며 “전력운영 분야는 상대적으로 소외되었던 간부의 지휘 및 복무여건 개선에도 중점을 뒀다”고 설명했다.

",조선일보
86,윤상현 “尹心팔이 자칭 윤핵관들 모두 수도권 출마하라”,"

										국민의힘 윤상현 의원은 28일 친윤(親尹) 당권주자들을 겨냥해 “모두 수도권에 출마하라”고 했다.



윤상현 국민의힘 의원. /뉴스1										윤 의원은 이날 페이스북에 올린 글에서 “김기현 의원이 당 대표가 되면 당 지지율 55%, 윤석열 대통령 지지율 60%를 호언장담했다”며 “좋은 포부다. 그렇다면 김 의원은 울산을 떠나 서울 출마를 선언하라”고 했다. 그러면서 “그 정도 지지율이면 서울 강북 지역에 출마해도 당선될 수 있다”고 했다.윤 의원은 “적어도 당대표 후보라면 언제라도 총선에서 수도권에 출마할 배짱이 있어야 한다”며 “수도권 승리의 보증수표가 당대표의 필요조건”이라고 했다. 이어 “윤심(尹心ㆍ윤 대통령 뜻)을 팔고다니는 자칭 윤핵관들은 모두 수도권 출마를 선언하라”며 “아니면 텃밭에서 편하게 선거 치르면서 수도권 승리가 중요하다느니 2030 MZ 세대가 중요하다느니 하는 말을 쉽게 하면 안된다”고 했다.윤 의원은 “정말 총선 승리가 중요하다면 최전방 전선에서 싸워 승리해 온 사람에게 당 대표를 맡기거나 아니면 본인이 수도권에 직접 총선출마하겠다고 선언하라”고도 했다.

",조선일보
87,"대통령실 “인도태평양 전략, 중국도 협력 대상에 포함”","





윤석열 대통령과 시진핑 중국 국가주석이 지난 11월 16일 G20 회담이 열린 인도네시아 발리의 한 호텔에서 한중 정상회담을 열고 있다. /대통령실										대통령실은 28일 윤석열 정부의 인도·태평양 전략과 관련해 “중국과의 협력을 포함한다”고 밝혔다.대통령실 관계자는 이날 기자들과 만나 “윤석열 정부의 인태 전략의 주요 원칙 중 하나가 포용”이라며 “아마 그 부분이 미국의 인태 전략과의 차이라면 차이”라고 했다.이어 “특정 국가를 배제하고 어느 특정 국가를 통제 내지 견제하거나 그런 것과는 조금 거리가 있다”고 했다.대통령실 관계자는 “중국은 이사갈 수 없는 저희의 이웃”이라며 “경제적으로 미국, 일본을 합친 것보다 많은 무역량을 가지고 있는 나라”라고 했다.그러면서 “그래서 중국과의 협력을 저희가 거부한다는 것은 현실과 상당히 거리가 있는 이야기 아닌가”라고 했다.이와 관련, 김성한 국가안보실장은 이날 용산 대통령실 청사 브리핑룸에서 인태전략 최종보고서를 발표했다. 한국 정부가 독자적인 지역외교 전략을 마련한 것은 처음이다.김 실장은 “우리 인태 전략의 협력 대상으로는 미국, 일본, 중국, 캐나다, 몽골을 포함한 동남아, 아세안, 남아시아, 오세아니아, 인도양 연안, 아프리카 등”이라며 “지역별로 맞춤형 전략으로 협력 관계를 모색해 나갈 것”이라고 했다.보고서에는 “인태 지역의 번영과 평화를 달성하는 데 있어 주요 협력 국가인 중국과는 국제규범과 규칙에 입각해 상호 존중과 호혜를 기반으로 공동 이익을 추구하면서 보다 건강하고 성숙한 한중관계를 구현해 나갈 것”이라는 내용이 포함됐다.

",조선일보
